price,bedrooms,bathrooms,living,lot,floors,waterfront,view,grade,above,basement,yr_built,yr_renovated,zipcode,lat,living15,lot15
325000,3,1,165.36603493125233,1216.5551839464883,1,0,0,9,165.36603493125233,0.0,1983,0,98042,47.367,255.4812337421033,1216.5551839464883
257000,2,1,92.9022668153103,343.7383872166481,1,0,0,6,74.32181345224824,18.58045336306206,1929,0,98118,47.552,117.98587885544408,464.5113340765515
228500,3,1,100.33444816053512,695.4663693794129,1,0,0,6,91.9732441471572,8.361204013377927,1942,0,98146,47.4838,108.69565217391305,724.6376811594204
288000,3,2,194.1657376439985,696.7670011148273,1,0,0,7,118.91490152359718,75.25083612040135,1977,0,98031,47.3951,167.22408026755855,682.8316610925307
479000,2,2,161.74284652545523,133.68636194723152,2,0,0,8,134.3366778149387,27.40616871051654,2007,0,98034,47.7043,194.1657376439985,971.2002972872539
459900,3,1,217.3913043478261,4815.681902638425,1,0,0,8,140.28242289111856,77.10888145670755,1978,0,98027,47.4846,191.37866963953923,7203.2701597918995
449500,5,2,189.520624303233,695.6521739130435,1,0,0,7,111.48272017837236,78.03790412486065,1969,0,98034,47.7289,142.14046822742475,695.6521739130435
769000,5,2,308.4355258268302,1220.5499814195466,1,0,2,9,176.51430694908956,131.9212188777406,1964,0,98028,47.759,261.98439241917504,1220.5499814195466
680000,3,1,163.50798959494614,780.3790412486065,1,0,0,8,135.63730955035302,27.87068004459309,1960,0,98136,47.5355,183.9464882943144,780.3790412486065
293500,3,2,149.5726495726496,466.7409884801189,2,0,0,7,149.5726495726496,0.0,2004,0,98038,47.3833,166.29505759940542,345.3177257525084
203000,3,1,110.55369751021925,557.4136008918618,1,0,0,7,110.55369751021925,0.0,1952,2015,98178,47.5026,111.48272017837236,557.4136008918618
360000,5,3,230.39762170196954,668.8963210702342,1,0,0,7,144.92753623188406,85.47008547008548,1999,0,98188,47.4586,177.44332961724268,876.2541806020067
258000,3,2,129.13415087328133,668.8963210702342,1,0,0,7,129.13415087328133,0.0,1996,0,98058,47.434,151.4306949089558,681.9026384243776
245990,3,1,96.61835748792271,781.3080639167596,1,0,0,7,96.61835748792271,0.0,1942,2014,98188,47.453,125.4180602006689,781.3080639167596
352000,5,2,276.8487551096247,913.9725009290228,1,0,0,7,158.8628762541806,117.98587885544408,1968,0,98030,47.3807,208.10107766629508,913.9725009290228
300000,3,3,136.56633221850615,114.73429951690822,2,0,0,7,109.62467484206616,26.941657376439988,2008,0,98108,47.5537,136.56633221850615,115.4775176514307
430000,2,1,65.03158677071721,445.93088071348944,1,0,0,7,65.03158677071721,0.0,1922,0,98122,47.6147,133.77926421404683,445.93088071348944
900000,5,3,404.1248606465998,3453.0843552582687,2,0,0,10,274.0616871051654,130.06317354143442,1972,0,98005,47.6518,304.71943515421776,3867.6142697881833
285000,4,2,163.50798959494614,510.9624674842066,1,0,1,7,72.46376811594203,91.0442214790041,1925,2004,98118,47.5183,140.28242289111856,510.9624674842066
353900,3,1,144.92753623188406,535.1170568561873,1,0,0,6,72.46376811594203,72.46376811594203,1927,0,98106,47.5272,122.63099219620959,713.4894091415831
780000,4,1,230.39762170196954,854.2363433667782,1,0,0,7,129.13415087328133,101.26347082868823,1950,0,98004,47.584,226.68153102935713,854.2363433667782
600000,5,2,256.4102564102564,589.9293942772204,1,0,0,7,128.2051282051282,128.2051282051282,1958,0,98126,47.5561,191.37866963953923,589.186176142698
447055,4,2,227.42474916387962,459.7733184689707,2,0,0,9,227.42474916387962,0.0,2014,0,98030,47.3428,261.5198810850985,505.9457450761799
284200,3,1,143.06949089557787,616.1278335191379,1,0,0,7,99.40542549238202,43.66406540319584,1959,0,98178,47.4973,233.18468970642886,614.8272017837236
980000,5,2,293.57116313638056,1065.5890003716092,1,0,0,9,165.36603493125233,128.2051282051282,1971,0,98040,47.5368,302.8613898179116,1065.5890003716092
469500,4,2,179.30137495354887,1211.5384615384617,1,0,0,8,109.62467484206616,69.67670011148273,1980,0,98072,47.7502,174.65626161278337,950.7617985878856
879950,4,2,280.5648457822371,669.1750278706801,2,0,0,9,280.5648457822371,0.0,2014,0,98033,47.6948,279.635823114084,670.2898550724639
570000,5,1,233.18468970642886,905.7971014492754,1,0,0,8,233.18468970642886,0.0,1969,0,98052,47.6635,176.51430694908956,905.7971014492754
550000,4,1,230.39762170196954,1373.2813080639169,1,0,3,8,135.63730955035302,94.7603121516165,1958,0,98155,47.7646,270.34559643255295,1003.3444816053512
325000,3,1,147.71460423634338,758.082497212932,1,0,1,7,101.26347082868823,46.45113340765515,1954,0,98198,47.4013,143.06949089557787,975.4738015607581
400000,5,2,233.18468970642886,699.08955778521,1,0,0,7,158.8628762541806,74.32181345224824,1929,0,98106,47.5422,117.98587885544408,626.2541806020067
1130000,4,3,353.9576365663322,791.4344109996284,1,0,1,10,248.9780750650316,104.97956150130064,2007,0,98033,47.699,301.0033444816054,998.5135637309551
270000,4,2,176.51430694908956,769.4165737643999,1,0,0,7,176.51430694908956,0.0,1968,1997,98022,47.2089,131.9212188777406,775.733927907841
232000,3,1,129.13415087328133,1053.5117056856188,1,0,0,7,129.13415087328133,0.0,1963,0,98031,47.3984,161.64994425863992,1053.5117056856188
540000,4,1,278.0564845782237,1802.30397621702,2,0,0,7,207.4507617985879,70.60572277963583,1921,0,98166,47.4692,191.37866963953923,1402.8242289111856
840000,4,1,230.39762170196954,1022.8539576365664,1,0,0,9,151.4306949089558,78.96692679301376,1966,0,98040,47.5378,257.3392790784095,998.1419546636938
1038000,4,1,133.77926421404683,1235.2285395763658,1,0,0,8,133.77926421404683,0.0,1967,0,98004,47.634,327.0159791898923,1003.5302861389819
360000,2,1,104.05053883314754,1172.8911185432926,1,0,3,7,104.05053883314754,0.0,1940,0,98136,47.5397,174.65626161278337,634.3366778149388
210000,4,1,194.1657376439985,602.4712002972873,1,0,0,7,118.91490152359718,75.25083612040135,1956,0,98178,47.4958,203.45596432552955,891.8617614269789
595000,3,2,162.57896692679302,311.59420289855075,2,0,0,7,162.57896692679302,0.0,1991,0,98033,47.6953,162.57896692679302,398.1791155704199
686000,4,2,197.88182831661095,989.4091415830546,2,0,0,8,197.88182831661095,0.0,1977,0,98006,47.5567,314.00966183574883,933.6677814938685
